Asin,Brand,review_count,avg_rating,pain_review_rate,top_pain_dimension,top_pain_mentions
B0CYCHWDSF,SRUOLOC,2,4.0,1.0,色彩饱和度与混合,1
B0F7L9SDXK,WUO,4,4.5,0.75,色彩饱和度与混合,1
B0CZRTD7SR,miikoul,3,5.0,0.6666666666666666,色彩饱和度与混合,1
B0FDF4LG33,Grabie,7,5.0,0.5714285714285714,笔头耐用性,2
B0DQX43YQD,TBC The Best Crafts,10,4.8,0.5,绘画表现,3
B0C2BKFK5Y,PAINTIGO,6,3.8333333333333335,0.5,色彩饱和度与混合,1
B0CMQZNGK7,posca,2,5.0,0.5,笔头耐用性,1
B0CMQZSWJS,posca,2,5.0,0.5,流畅性,1
B0DDB7GYFT,Pagather,2,5.0,0.5,笔头耐用性,1
B0DMP22K15,YHC,2,3.5,0.5,色彩饱和度与混合,1
B0DK9RK89H,Sharpie,18,4.666666666666667,0.4444444444444444,流畅性,6
B0DDXQTYP9,Shuttle Art,16,4.75,0.4375,流畅性,4
B0DKFQ1G23,Recheel,16,4.25,0.4375,流畅性,3
B0DN5RLBKL,nauets,16,4.25,0.4375,流畅性,3
B0DPW68PPJ,HOTU,7,4.142857142857143,0.42857142857142855,流畅性,3
B0DL9ZPMLX,Recheel,12,4.416666666666667,0.4166666666666667,流畅性,2
B0F21K1CCX,DICEKOO,17,4.764705882352941,0.4117647058823529,流畅性,2
B0D471YK2F,Oficrafted,5,4.6,0.4,色彩饱和度与混合,1
B0DB7T5HPS,Guangna,5,4.8,0.4,流畅性,2
B0DSCBRJ2K,LILTYNG,5,5.0,0.4,色彩饱和度与混合,1
B0DLKVD4TW,nauets,21,4.666666666666667,0.38095238095238093,笔头耐用性,3
B0F7L6VLXH,WUO,8,5.0,0.375,绘画表现,2
B0F24N6MRC,IVSUN,19,4.7894736842105265,0.3684210526315789,笔头表现,2
B0CYSZ52T4,SRUOLOC,14,4.357142857142857,0.35714285714285715,性价比,4
B0F6LC4JPC,Coogert,31,5.0,0.3548387096774194,流畅性,6
B0DHVWN11X,JusArt,17,4.411764705882353,0.35294117647058826,流畅性,3
B0DGSHDF4L,Betem,20,4.75,0.35,笔头耐用性,4
B0DSGXK4MJ,AcrylicAura,18,4.944444444444445,0.3333333333333333,绘画表现,3
B0BZS9J77R,JanFeel,15,4.466666666666667,0.3333333333333333,色彩饱和度与混合,3
B0D6YFT1GJ,Pagather,12,4.0,0.3333333333333333,笔头耐用性,2
B0DK3CVMSJ,Ohuhu,12,4.833333333333333,0.3333333333333333,笔头耐用性,1
B0F4X32HC4,Astriscribe,12,4.75,0.3333333333333333,绘画表现,3
B0FCMN4V45,Prudiut,12,5.0,0.3333333333333333,流畅性,4
B0DSBF4KRY,Betem,9,4.666666666666667,0.3333333333333333,绘画表现,2
B0CNXRVJW2,Grabie,3,3.3333333333333335,0.3333333333333333,笔身与易用性,1
B0D421X6LB,DEYONI,3,3.0,0.3333333333333333,笔头耐用性,1
B0F2JLC1TM,ARTISTRO,3,5.0,0.3333333333333333,流畅性,1
B0FFY5YXBZ,colourmotor,3,5.0,0.3333333333333333,购买与服务体验,1
B0D5Y4B2CC,Amamao,19,4.368421052631579,0.3157894736842105,笔头耐用性,3
B0F6D1PQFN,Artecho,13,4.6923076923076925,0.3076923076923077,色彩饱和度与混合,2
